#{"t_start": 1522246967.5832486, "env_id": "ContCartPole-v0"}
r,l,t
289.781434,30,2.315521
229.858649,24,2.380492
269.913945,28,2.460032
139.884339,15,2.474041
149.914885,16,2.512132
189.829024,20,2.572955
119.911767,13,2.606189
239.913519,25,2.67318
119.930329,13,2.720843
349.875835,36,2.82128
429.886388,44,2.913398
119.914898,13,2.946504
189.889247,20,3.026595
149.930498,16,3.07344
129.911275,14,3.107872
179.888105,19,3.157838
259.874059,27,3.205178
229.932655,24,3.276497
269.858479,28,3.332516
399.870128,41,3.444096
179.903023,19,3.503279
189.935317,20,3.542217
109.897403,12,3.586755
199.896581,21,3.639096
199.925268,21,3.701368
149.916881,16,3.766371
189.89002,20,3.816533
559.753267,57,3.958565
199.911652,21,4.040819
199.88941,21,4.117785
359.913531,37,4.195407
259.853398,27,4.266751
459.733919,47,4.409212
199.859895,21,4.461516
159.905988,17,4.525492
199.845755,21,4.566485
149.907625,16,4.617837
259.881766,27,4.690736
239.882006,25,4.783474
299.857895,31,4.864324
209.915387,22,4.908226
229.913711,24,5.024929
179.885322,19,5.086196
159.863378,17,5.137851
189.906626,20,5.190749
119.894253,13,5.252002
169.927905,18,5.267448
479.880496,49,5.408788
109.906796,12,5.493063
169.879209,18,5.54146
169.897232,18,5.591576
139.887731,15,5.604389
359.918578,37,5.684205
269.871999,28,5.76474
99.908854,11,5.796709
309.870689,32,5.890127
219.872348,23,5.941656
289.819853,30,6.006994
169.89932,18,6.068867
429.744106,44,6.16291
169.92569,18,6.228203
159.892291,17,6.262894
389.869059,40,6.328573
149.919468,16,6.375571
209.833981,22,6.457293
139.907311,15,6.505519
459.823097,47,6.617359
219.841773,23,6.696213
179.927557,19,6.744903
289.901024,30,6.826192
119.882289,13,6.871451
139.908691,15,6.933431
189.918846,20,6.978111
159.904513,17,7.005768
239.823059,25,7.048496
199.908045,21,7.098631
279.779635,29,9.358579
149.909188,16,9.382483
159.899308,17,9.429519
279.910269,29,9.465209
499.602309,51,9.653969
449.82184,46,9.776974
399.759565,41,9.848229
219.908606,23,9.911786
249.86385,26,9.992525
129.899233,14,10.057801
99.916804,11,10.088264
139.926274,15,10.135155
319.831871,33,10.189578
239.925894,25,10.234118
189.871391,20,10.296778
239.895404,25,10.363474
169.881953,18,10.412457
209.870414,22,10.476567
169.90354,18,10.537787
179.859756,19,10.586403
229.821178,24,10.667262
169.904418,18,10.695992
199.868723,21,10.746391
489.841528,50,10.854192
169.90463,18,10.891483
209.853009,22,10.956908
279.738352,29,11.071337
189.917574,20,11.134974
179.903944,19,11.151761
139.88395,15,11.196979
129.869682,14,11.24622
329.868969,34,11.329649
209.863217,22,11.393236
259.903257,27,11.543541
179.904948,19,11.58401
189.865654,20,11.640539
209.927599,22,11.779647
499.662302,51,11.901132
179.918458,19,12.050258
169.913404,18,12.066573
169.908882,18,12.115399
299.866632,31,12.196412
619.858736,63,12.372759
189.805035,20,12.424547
149.891999,16,12.473353
519.70305,53,12.615549
189.88679,20,12.741585
169.872525,18,12.776599
179.864021,19,12.823217
279.881708,29,12.888616
629.81436,64,13.058974
239.851504,25,13.106115
219.92014,23,13.179625
419.762494,43,13.278517
219.917454,23,13.405087
169.878477,18,13.455511
239.859116,25,13.525589
149.878985,16,13.647197
